       1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25,        26,        27,        28,        29,        30,        31,        32,        33,        34,        35,        36,        37,        38,        39,        40,        41,        42,        43,        44,        45,        46,        47,        48,        49,        50
  50.490,    64.070,    -2.504,  -143.200,   -25.870,   695.000,  -240.000,        na,   110.400,        na,    41.570,        na,   -93.510,        na,        na,  -257.200,        na,        na,        na,  -180.200,        na,  -215.000,  -343.600,   -58.430,        na,        na,        na,        na,    85.700,        na,   535.800,        na,  -111.200,        na,     0.000,        na,        na,        na,   -97.710,        na,   153.700,        na,        na,        na,        na,        na,        na,        na,        na,        na
-165.900,   573.000,  -123.600,   397.400,   389.300,   218.800,   386.600,        na,        na,   354.000,   175.500,        na,        na,        na,        na,        na,        na,        na,   -42.310,        na,        na,        na,        na,   -85.150,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000,  -208.800,        na,    -8.804,        na,   423.400,        na,        na,        na,        na,        na,        na,        na,        na,        na
  47.410,   124.200,   395.800,   419.100,   738.900,   528.000,        na,        na,   -40.900,   183.800,   611.300,   134.500,  -217.900,        na,        na,        na,        na,   281.600,   335.200,   898.200,   383.200,   301.900,  -149.800,  -134.200,        na,   379.400,        na,   167.900,        na,        na,        na,        na,        na,   631.500,        na,   837.200,     0.000,        na,   255.000,        na,   730.800,        na,        na,    26.350,        na,        na,        na,  2429.000,        na,        na
  -5.132,  -131.700,  -237.200,  -157.300,   649.700,   645.900,        na,        na,        na,        na,        na,        na,   167.300,        na,  -198.800,   116.500,        na,   159.800,        na,        na,        na,        na,        na,  -124.600,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000,        na,  -117.200,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na
 -31.950,   249.000,  -133.900,  -240.200,    64.160,   172.200,  -287.100,        na,    97.040,    13.890,   -82.120,  -116.700,  -158.200,    49.700,        na,  -185.200,   343.700,        na,   150.600,   -97.770,        na,        na,        na,  -186.700,        na,   223.600,        na,        na,   -71.000,        na,  -191.700,        na,        na,     6.699,   136.600,     5.150,  -137.700,        na,     0.000,    -5.579,    72.310,        na,        na,        na,        na,        na,        na,        na,        na,        na
 147.300,    62.400,   140.600,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   185.600,    55.800,     0.000,        na,        na,        na,        na,   111.800,        na,        na,        na,        na,        na
 529.000,  1397.000,   317.600,   615.800,    88.630,   171.000,   284.400,  -167.300,   123.400,   577.500,  -234.900,   145.400,  -247.800,        na,   284.500,        na,   -22.100,        na,   -61.600,  1179.000,   182.200,   305.400,  -193.000,   335.700,   956.100,  -124.700,        na,   885.500,        na,   -64.280,  -264.300,   288.100,   627.700,        na,   -29.340,   -53.910,  -198.000,        na,   -28.650,        na,     0.000,        na,        na,        na,        na,        na,   122.400,        na,        na,        na
 -34.360,        na,   787.900,        na,  1913.000,        na,   180.200,        na,   992.400,        na,        na,        na,   448.500,   961.800,  1464.000,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000, -2166.000,        na,        na,        na,        na,        na,        na,        na
 110.200,        na,   234.400,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -125.200,  1604.000,        na,        na,        na,        na,        na,        na,        na,        na,    70.810,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   745.300,     0.000,        na,        na,        na,        na,        na,        na,        na
  13.890,   -16.110,   -23.880,     6.214,   796.900,        na,   832.200,  -234.700,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -196.200,        na,   161.500,        na,        na,        na,  -274.100,        na,   262.000,        na,        na,        na,        na,        na,   -66.310,        na,        na,        na,        na,        na,        na,     0.000,        na,        na,        na,        na,        na,        na
  30.740,        na,   167.900,        na,   794.400,   762.700,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   844.000,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   -32.170,        na,        na,        na,        na,     0.000,        na,        na,        na,        na,        na
  27.970,     9.755,        na,        na,   394.800,        na,  -509.300,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,   -70.250,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000,        na,        na,        na,        na
 -11.920,   132.400,   -86.880,   -19.450,   517.500,        na,  -205.700,        na,   156.400,        na,    -3.444,        na,        na,        na,        na,        na,        na,        na,   119.200,        na,        na,  -194.700,        na,     3.163,     7.082,        na,        na,        na,        na,        na,   515.800,        na,        na,        na,        na,        na,        na,        na,        na,        na,   101.200,        na,        na,        na,        na,        na,     0.000,        na,        na,        na
  39.930,   543.600,        na,        na,        na,   420.000,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,  -363.100,   -11.300,        na,        na,        na,        na,     6.971,        na,        na,        na,        na,        na,        na,        na,   148.900,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000,        na,        na
 -23.610,   161.100,   142.900,   274.100,   -61.200,   -89.240,  -384.300,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000,        na
  -8.479,        na,    23.930,     2.845,   682.500,   597.800,        na,   810.500,   278.800,        na,        na,        na,        na,        na,        na,        na,        na,   221.400,        na,        na,        na,        na,        na,   -79.340,        na,   176.300,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,     0.000
